Employee numbers,First Name,Last Name,Department Name
428594,Breannda,Aamodt,Sales
252763,Felicidad,Aamodt,Development
275120,Jaideep,Aamodt,Sales
484934,Magy,Aamodt,Development
471383,Mohammed,Aamodt,Development
265157,Narain,Aamodt,Sales
460902,Nimmagadda,Aamodt,Development
419084,Shen,Aamodt,Development
258861,Sigeru,Aamodt,Development
280448,Theron,Aamodt,Sales
238752,Aluzio,Acton,Development
429297,Becky,Acton,Sales
213271,Djenana,Acton,Sales
261695,Giri,Acton,Development
90793,Jinpo,Acton,Development
284152,Katsuyuki,Acton,Development
421304,Kwee,Acton,Development
413496,Naftaly,Acton,Sales
423543,Oldrich,Acton,Development
461027,Raimond,Acton,Development
73542,Shigehito,Acton,Sales
408216,Shridhar,Acton,Sales
20043,Chikara,Adachi,Development
92027,Georg,Adachi,Development
462289,Kenroku,Adachi,Development
223389,Shuho,Adachi,Sales
405140,Stella,Adachi,Development
448808,Yannik,Adachi,Development
98358,Basim,Aingworth,Development
282119,Foong,Aingworth,Development
28976,Kazuhiko,Aingworth,Development
211301,Khalid,Aingworth,Development
422100,Kotesh,Aingworth,Development
67574,Lijie,Aingworth,Development
275285,Mana,Aingworth,Development
11441,Marlo,Aingworth,Sales
259313,Masadi,Aingworth,Sales
283019,Narain,Aingworth,Development
485584,Uzi,Aingworth,Development
460876,Vidar,Aingworth,Development
99481,Arnd,Akaboshi,Sales
243820,Chiranjit,Akaboshi,Development
456657,Frederique,Akaboshi,Sales
18664,Itzchak,Akaboshi,Sales
41798,Margareta,Akaboshi,Development
423907,Sanjit,Akaboshi,Sales
287982,Stepehn,Akaboshi,Development
283289,Yechezkel,Akaboshi,Sales
226896,Yurij,Akaboshi,Sales
252510,Bedir,Akazan,Development
53154,Chaosheng,Akazan,Development
268778,Guadalupe,Akazan,Development
448524,Kwangsub,Akazan,Development
206847,Luise,Akazan,Sales
30425,Rimli,Akazan,Sales
18775,Shay,Akazan,Development
240587,Zorica,Akazan,Sales
284762,Chinho,Akiyama,Development
88015,Dmitry,Akiyama,Development
412602,Kasidit,Akiyama,Development
232686,Kazuhiko,Akiyama,Sales
484602,Kenroku,Akiyama,Development
78153,Kwan,Akiyama,Development
243435,Moriyoshi,Akiyama,Sales
243923,Owen,Akiyama,Development
65131,Shakhar,Akiyama,Sales
79509,Vitaly,Akiyama,Sales
475634,Alagu,Alameldin,Development
213801,Aruna,Alameldin,Sales
427783,Gennady,Alameldin,Sales
20836,Jingling,Alameldin,Sales
75370,Kwee,Alameldin,Sales
216038,Nahla,Alameldin,Development
88924,Qiwen,Alameldin,Development
64151,Rasikan,Alameldin,Development
98977,Richara,Alameldin,Development
45390,Sedat,Alameldin,Sales
109334,Tsutomu,Alameldin,Sales
45552,Aloys,Albarhamtoshy,Sales
496077,Anyuan,Albarhamtoshy,Sales
59413,Huei,Albarhamtoshy,Sales
66961,Lech,Albarhamtoshy,Sales
225546,Marl,Albarhamtoshy,Development
211541,Perry,Albarhamtoshy,Development
19621,Radhakrishnan,Albarhamtoshy,Development
233966,Shimshon,Albarhamtoshy,Sales
78410,Sreenivas,Albarhamtoshy,Development
261569,Thodoros,Albarhamtoshy,Sales
31533,Trygve,Albarhamtoshy,Sales
36355,Aleksandar,Alblas,Development
286771,Make,Alblas,Development
288274,Selwyn,Alblas,Development
206053,Tsuneo,Alblas,Sales
245790,Yongmao,Alblas,Sales
454340,Amabile,Alencar,Development
90277,Conor,Alencar,Development
62900,Gio,Alencar,Sales
53418,Hiroyasu,Alencar,Sales
256099,Kersti,Alencar,Development
257953,Kwangyoen,Alencar,Sales
13302,Mack,Alencar,Development
227910,Saniya,Alencar,Sales
473947,Van,Alencar,Development
258621,Arne,Aloia,Development
15971,Arumugam,Aloia,Development
65280,Arun,Aloia,Development
36874,Genki,Aloia,Sales
267411,Gio,Aloia,Development
222836,Ishfaq,Aloia,Sales
81672,Kazuhito,Aloia,Development
288075,Nectarios,Aloia,Development
221882,Sahrah,Aloia,Sales
456007,Souichi,Aloia,Sales
289170,Taizo,Aloia,Development
465194,Yechiam,Aloia,Development
409694,Chenye,Aloisi,Development
453734,Junsik,Aloisi,Development
277789,Katsuyuki,Aloisi,Development
294719,Kwok,Aloisi,Development
10157,Nigel,Aloisi,Development
215616,Sachar,Aloisi,Development
415731,Uta,Aloisi,Development
225965,Dhritiman,Alpay,Development
414666,Fai,Alpay,Sales
224723,Guadalupe,Alpay,Development
405888,Leucio,Alpay,Sales
102870,Marsal,Alpay,Sales
227578,Randy,Alpay,Development
222506,Xudong,Alpay,Development
232031,Zvonko,Alpay,Development
465547,Bernice,Alpin,Sales
52411,Elvis,Alpin,Development
45514,Jessie,Alpin,Sales
15504,Kasturi,Alpin,Development
433873,Uwe,Alpin,Development
418000,Yuichiro,Alpin,Sales
272214,Yurij,Alpin,Development
96129,Aloys,Alvarado,Development
432589,Baziley,Alvarado,Development
423986,Debatosh,Alvarado,Development
88825,Fun,Alvarado,Development
50449,Jagoda,Alvarado,Development
12662,Leucio,Alvarado,Development
209834,Nitsan,Alvarado,Development
107892,Aral,Ambroszkiewicz,Development
80801,Bluma,Ambroszkiewicz,Sales
287624,Francesca,Ambroszkiewicz,Sales
440247,Geoff,Ambroszkiewicz,Development
499671,Jayesh,Ambroszkiewicz,Sales
98128,Kazuhisa,Ambroszkiewicz,Sales
76142,Nikolaos,Ambroszkiewicz,Sales
42047,Sahrah,Ambroszkiewicz,Development
284056,Tze,Ambroszkiewicz,Development
32626,Ulf,Ambroszkiewicz,Development
416924,Vishwani,Ambroszkiewicz,Sales
224837,Yahiko,Ambroszkiewicz,Development
431721,Aluzio,Anandan,Development
36303,Amstein,Anandan,Development
23466,Chikara,Anandan,Development
291385,Khun,Anandan,Sales
412012,Mara,Anandan,Sales
464454,Rosalyn,Anandan,Development
289461,Sergi,Anandan,Development
296182,Snehasis,Anandan,Development
30655,Xuedong,Anandan,Sales
271915,Zhenbing,Anandan,Development
431078,Adib,Ananiadou,Sales
93049,Christoper,Ananiadou,Development
108375,Greger,Ananiadou,Sales
415157,Insup,Ananiadou,Sales
76408,JiYoung,Ananiadou,Development
217561,Kiyotoshi,Ananiadou,Sales
22682,Kristina,Ananiadou,Development
63343,Mark,Ananiadou,Development
284156,Nechama,Ananiadou,Development
292831,Subhankar,Ananiadou,Development
23707,Yoshimitsu,Ananiadou,Development
255168,Ziva,Ananiadou,Sales
210330,Bernardo,Andreotta,Development
292753,Kwangyoen,Andreotta,Development
254117,Leen,Andreotta,Development
53464,Odoardo,Andreotta,Sales
22536,Sukumar,Andreotta,Development
43073,Urs,Andreotta,Development
403959,Aleksander,Androutsos,Sales
286590,Aral,Androutsos,Development
422470,Arvin,Androutsos,Sales
105633,Dmitry,Androutsos,Development
464242,Gen,Androutsos,Sales
417830,Geoff,Androutsos,Sales
91871,Selwyn,Androutsos,Development
497968,Tesuro,Androutsos,Development
443557,Ute,Androutsos,Sales
442133,Bernd,Angel,Sales
37087,Claudi,Angel,Sales
292519,Josyula,Angel,Development
299091,Kinh,Angel,Development
259898,Lakshmi,Angel,Development
255057,Ramya,Angel,Development
278608,Reuven,Angel,Development
473701,Richard,Angel,Development
240309,Roselyn,Angel,Development
271980,Shigenori,Angel,Sales
225307,Shiv,Angel,Sales
272861,Gonzalo,Angelopoulos,Development
231083,Gritta,Angelopoulos,Development
32445,Kristian,Angelopoulos,Development
43222,Lenore,Angelopoulos,Sales
230691,Mantis,Angelopoulos,Sales
17986,Oguz,Angelopoulos,Sales
230008,Sajjan,Angelopoulos,Sales
215123,Sangeeta,Angelopoulos,Sales
430477,Subhrajyoti,Angelopoulos,Development
424724,Suebskul,Angelopoulos,Development
496326,Xuejun,Angelopoulos,Sales
265903,Abdelkader,Angelov,Sales
53868,Jixiang,Angelov,Sales
408613,Mart,Angelov,Development
473113,Toshimitsu,Angelov,Sales
21214,Weiru,Angelov,Development
82065,Christophe,Anger,Development
424997,Heekeun,Anger,Development
435995,Jovan,Anger,Development
24153,Lidong,Anger,Sales
24429,Murthy,Anger,Sales
459158,Naftali,Anger,Sales
58788,Shmuel,Anger,Development
215576,Takushi,Anger,Sales
80198,Yefim,Anger,Sales
458525,Amstein,Angiulli,Sales
297980,Danai,Angiulli,Development
411626,Georg,Angiulli,Development
212482,Lubomir,Angiulli,Sales
254354,Martins,Angiulli,Development
475632,Mohamadou,Angiulli,Development
454081,Paddy,Angiulli,Sales
449693,Teruyuki,Angiulli,Development
289172,Valeska,Angiulli,Development
80665,Angel,Angot,Sales
100169,Ingmar,Angot,Development
